,p,x,y,Pd,Pt,Ru
180,181,-36.0,4.5,0.15118564711084825,0.6320907151064734,0.21672363778267834
181,182,-31.5,4.5,0.15104254780093146,0.5979723181009453,0.25098513409812323
182,183,-27.0,4.5,0.1508994490875774,0.563854063330656,0.2852464875817666
183,184,-22.5,4.5,0.15075635097078238,0.529735950794716,0.3195076982345016
184,185,-18.0,4.5,0.15061325345054258,0.4956179804922359,0.3537687660572216
185,186,-13.5,4.5,0.1504701565268544,0.4615001524223262,0.38802969105081947
186,187,-9.0,4.5,0.150327060199714,0.42738246658409745,0.4222904732161885
187,188,-4.5,4.5,0.1501839644691177,0.3932649229766604,0.45655111255422187
188,189,0.0,4.5,0.15004086933506178,0.35914752159912555,0.49081160906581267
189,190,4.5,4.5,0.1498977747975425,0.32503026245060357,0.525071962751854
190,191,9.0,4.5,0.14975468085655605,0.2909131455302049,0.559332173613239
191,192,13.5,4.5,0.14961158751209883,0.2567961708370404,0.5935922416508608
192,193,18.0,4.5,0.14946849476416701,0.22267933837022058,0.6278521668656124
193,194,22.5,4.5,0.14932540261275692,0.18856264812885604,0.662111949258387
194,195,27.0,4.5,0.14918231105786484,0.15444610011205745,0.6963715888300777
195,196,31.5,4.5,0.14903922009948697,0.12032969431893549,0.7306310855815775
196,197,36.0,4.5,0.14889612973761962,0.08621343074860081,0.7648904395137797
197,198,40.5,4.5,0.14875303997225908,0.052097309400164056,0.7991496506275769
198,199,45.0,4.5,0.14860995080340159,0.017981330272735893,0.8334087189238626
199,200,-45.0,9.0,0.1369626546947588,0.7027008268816177,0.16033651842362348
200,201,-40.5,9.0,0.13681958407618425,0.6685820547975062,0.1945983611263096
201,202,-36.0,9.0,0.13667651405405679,0.6344634249511472,0.22886006099479608
202,203,-31.5,9.0,0.13653344462837272,0.6003449373416512,0.26312161802997613
203,204,-27.0,9.0,0.13639037579912833,0.5662265919681286,0.29738303223274304
204,205,-22.5,9.0,0.13624730756631986,0.5321083888296901,0.3316443036039899
205,206,-18.0,9.0,0.13610423992994355,0.4979903279254465,0.3659054321446099
