,p,x,y,Ag,Pd,Pt
306,307,13.5,31.5,0.6049193310148043,0.06448257442767642,0.33059809455751926
307,308,18.0,31.5,0.623053749341614,0.07089396130667135,0.3060522893517147
308,309,22.5,31.5,0.6411884322783664,0.07730544173797574,0.2815061259836579
309,310,27.0,31.5,0.6593233798308534,0.08371701572363725,0.25695960444550936
310,311,31.5,31.5,0.6774585920048667,0.09012868326570354,0.23241272472942978
311,312,-27.0,36.0,0.46148231472061385,0.0,0.5385176852793861
312,313,-22.5,36.0,0.4823427018354036,0.0,0.5176572981645964
313,314,-18.0,36.0,0.5034696144393244,0.0,0.49653038556067575
314,315,-13.5,36.0,0.5239416935336081,0.0017652046717053038,0.47429310179468664
315,316,-9.0,36.0,0.5420751662677995,0.008176008546818747,0.4497488251853818
316,317,-4.5,36.0,0.5602089035929589,0.014586905963904455,0.4252041904431366
317,318,0.0,36.0,0.5783429055148777,0.02099789692500977,0.40065919756011265
318,319,4.5,36.0,0.5964771720393468,0.027408981432182157,0.376113846528471
319,320,9.0,36.0,0.6146117031721581,0.03382015948746909,0.3515681373403729
320,321,13.5,36.0,0.6327464989191028,0.04023143109291806,0.32702206998797906
321,322,18.0,36.0,0.6508815592859732,0.04664279625057676,0.3024756444634501
322,323,22.5,36.0,0.6690168842785609,0.05305425496249279,0.2779288607589463
323,324,27.0,36.0,0.6871524739026582,0.05946580723071386,0.25338171886662797
324,325,-22.5,40.5,0.4979182895386989,0.0,0.5020817104613011
325,326,-18.0,40.5,0.5186448774660846,0.0,0.4813551225339156
326,327,-13.5,40.5,0.5396316687764098,0.0,0.4603683312235901
327,328,-9.0,40.5,0.5608835943447562,0.0,0.4391164056552438
328,329,-4.5,40.5,0.5824057104254942,0.0,0.41759428957450584
329,330,0.0,40.5,0.604203202662864,0.0,0.3957967973371361
330,331,4.5,40.5,0.6243044031852336,0.0031567073555381826,0.3725388894592283
331,332,9.0,40.5,0.6424395763674724,0.00956786367597464,0.3479925599565529
332,333,13.5,40.5,0.66057501417962,0.015979113548520812,0.3234458722718593
333,334,18.0,40.5,0.6787107166274683,0.022390456975224363,0.29889882639730736
334,335,22.5,40.5,0.69684668371681,0.028801893958133103,0.2743514223250568
335,336,-13.5,45.0,0.5537116920986762,0.0,0.4462883079013238
336,337,-9.0,45.0,0.5745555381942891,0.0,0.4254444618057109
337,338,-4.5,45.0,0.5956581765116463,0.0,0.40434182348835374
338,339,0.0,45.0,0.6170244568112353,0.0,0.3829755431887648
339,340,4.5,45.0,0.6386593507944717,0.0,0.3613406492055283
340,341,9.0,45.0,0.6605679559605016,0.0,0.33943204403949856
341,342,13.5,45.0,0.682755499610315,0.0,0.3172445003896849
